URL,Version,Status,OIDs,Name,Title,Description,Used
http://hl7.org/fhir/location-mode,4.0.1,draft,"2.16.840.1.113883.4.642.4.331",LocationMode,LocationMode,"Indicates whether a resource instance represents a specific location or a class of locations.","ValueSet/location-mode"
http://hl7.org/fhir/location-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.333",LocationStatus,LocationStatus,"Indicates whether the location is still in use.","ValueSet/location-status"
http://hl7.org/fhir/name-use,4.0.1,active,"2.16.840.1.113883.4.642.4.66",NameUse,NameUse,"The use of a human name.","ValueSet/name-use"
http://hl7.org/fhir/observation-status,4.0.1,active,"2.16.840.1.113883.4.642.4.401",ObservationStatus,ObservationStatus,"Codes providing the status of an observation.","ValueSet/observation-status"
http://hl7.org/fhir/quantity-comparator,4.0.1,active,"2.16.840.1.113883.4.642.4.60",QuantityComparator,QuantityComparator,"How the Quantity should be understood and represented.","ValueSet/quantity-comparator"
http://hl7.org/fhir/request-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.114",RequestIntent,RequestIntent,"Codes indicating the degree of authority/intentionality associated with a request.","ValueSet/request-intent,ValueSet/task-intent"
http://hl7.org/fhir/request-priority,4.0.1,draft,"2.16.840.1.113883.4.642.4.116",RequestPriority,RequestPriority,"Identifies the level of importance to be assigned to actioning the request.","ValueSet/request-priority"
http://hl7.org/fhir/request-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.112",RequestStatus,RequestStatus,"Codes identifying the lifecycle stage of a request.","ValueSet/request-status"
http://hl7.org/fhir/search-entry-mode,4.0.1,active,"2.16.840.1.113883.4.642.4.623",SearchEntryMode,SearchEntryMode,"Why an entry is in the result set - whether it's included as a match or because of an _include requirement, or to convey information or warning information about the search process.","ValueSet/search-entry-mode"
http://hl7.org/fhir/specimen-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.472",SpecimenStatus,SpecimenStatus,"Codes providing the status/availability of a specimen.","ValueSet/specimen-status"
http://hl7.org/fhir/task-intent,4.0.1,draft,"2.16.840.1.113883.4.642.4.1241",TaskIntent,TaskIntent,"Distinguishes whether the task is a proposal, plan or full order.","ValueSet/task-intent"
http://hl7.org/fhir/task-status,4.0.1,draft,"2.16.840.1.113883.4.642.4.791",TaskStatus,TaskStatus,"The current status of the task.","ValueSet/task-status"
http://loinc.org,2.82,active,,LOINC,,"This is a place holder for the code system which is fully supported through internal means (not by this code system)","ValueSet/observation-codes,ValueSet/document-classcodes,ValueSet/doc-typecodes,ValueSet/doc-section-codes"
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimDistrictCS,0.1.0,draft,,ZimDistrictCS,Zimbabwe District Code System,"Districts (and metropolitan sub-units) of Zimbabwe, from the MOHCC district table. The concept code is the 4-character district code = 2-digit province code (01-10, per ZimProvinceCS) + 2-character zero-padded district code. The 'provinceCode' property gives the parent province's 2-digit code. NOTE: Harare city units were re-parented from the source ProvinceID=1 (Manicaland) to Harare (01); a junk 'Harare' row (ProvinceID 7) and other non-standard rows were excluded.","ValueSet/ZimDistrict"
http://mohcc.gov.zw/fhir/core/CodeSystem/ZimProvinceCS,0.1.0,draft,,ZimProvinceCS,Zimbabwe Province Code System,"The ten provinces of Zimbabwe. The 'provinceCode' property gives the province's two-digit code (01-10), which forms the leading segment of district codes (province+district, e.g. 0132) and facility codes (province+district+facility, e.g. 013224). Concept codes are also aligned with ISO 3166-2:ZW subdivisions (e.g. HA = ZW-HA).","ValueSet/ZimProvince"
http://mohcc.gov.zw/fhir/lab/CodeSystem/zw-lab-tests,0.1.0,active,,CSZWLabTests,ZW Laboratory Tests,"National code list for laboratory tests ordered in Zimbabwe (ZW.LAB.A.DE17).","ValueSet/zw-lab-tests"
http://mohcc.gov.zw/fhir/lab/CodeSystem/zw-laboratories,0.1.0,active,,CSZWLaboratories,ZW National Laboratory List,"National identifiers for public-health laboratories in Zimbabwe.","ValueSet/zw-laboratories"
http://mohcc.gov.zw/fhir/lab/CodeSystem/zw-reason-for-test,0.1.0,active,,CSZWReasonForTest,ZW Reason for Test,"Coded reasons for laboratory test requests in Zimbabwe (ZW.LAB.A.DE30).","ValueSet/zw-reason-for-test"
http://mohcc.gov.zw/fhir/lab/CodeSystem/zw-rejection-reasons,0.1.0,active,,CSZWRejectionReasons,ZW Specimen Rejection Reasons,"Reasons a specimen was rejected by the laboratory (ZW.LAB.A.DE88).","ValueSet/zw-rejection-reasons"
http://mohcc.gov.zw/fhir/lab/CodeSystem/zw-report-review-state,0.1.0,active,,CSZWReportReviewState,ZW Report Review State,"LIMS workflow/review state for a laboratory report (ZW.LAB.A.DE73).","ValueSet/zw-report-review-state"
http://mohcc.gov.zw/fhir/lab/CodeSystem/zw-sample-types,0.1.0,active,,CSZWSampleTypes,ZW Specimen Types,"National code list for specimen/sample types collected in Zimbabwe (ZW.LAB.A.DE53).","ValueSet/zw-sample-types"
http://snomed.info/sct,null,active,"2.16.840.1.113883.6.96",SNOMED_CT,SNOMED CT (all versions),"SNOMED CT is the most comprehensive and precise clinical health terminology product in the world, owned and distributed around the world by The International Health Terminology Standards Development Organisation (IHTSDO).","ValueSet/servicerequest-category,ValueSet/performer-role,ValueSet/specimen-collection-method,ValueSet/clinical-findings,ValueSet/referencerange-appliesto,ValueSet/specimen-container-type,ValueSet/observation-methods,ValueSet/participant-role,ValueSet/body-site,ValueSet/servicerequest-orderdetail,ValueSet/medication-as-needed-reason"
http://terminology.hl7.org/CodeSystem/contactentity-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1129",ContactEntityType,Contact entity type,"This example value set defines a set of codes that can be used to indicate the purpose for which you would contact a contact party.","ValueSet/contactentity-type"
http://terminology.hl7.org/CodeSystem/data-absent-reason,4.0.1,active,"2.16.840.1.113883.4.642.4.1048",DataAbsentReason,DataAbsentReason,"Used to specify why the normally expected content of the data element is missing.","ValueSet/data-absent-reason"
http://terminology.hl7.org/CodeSystem/list-empty-reason,4.0.1,draft,"2.16.840.1.113883.4.642.4.1106",ListEmptyReasons,List Empty Reasons,"General reasons for a list to be empty. Reasons are either related to a summary list (i.e. problem or medication list) or to a workflow related list (i.e. consultation list).","ValueSet/list-empty-reason"
http://terminology.hl7.org/CodeSystem/list-order,4.0.1,draft,"2.16.840.1.113883.4.642.4.1107",ListOrderCodes,List Order Codes,"Base values for the order of the items in a list resource.","ValueSet/list-order"
http://terminology.hl7.org/CodeSystem/location-physical-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1108",LocationType,Location type,"This example value set defines a set of codes that can be used to indicate the physical form of the Location.","ValueSet/location-physical-type"
http://terminology.hl7.org/CodeSystem/observation-category,4.0.1,draft,"2.16.840.1.113883.4.642.4.1125",ObservationCategoryCodes,Observation Category Codes,"Observation Category codes.","ValueSet/observation-category"
http://terminology.hl7.org/CodeSystem/organization-type,4.0.1,draft,"2.16.840.1.113883.4.642.4.1128",OrganizationType,Organization type,"This example value set defines a set of codes that can be used to indicate a type of organization.","ValueSet/organization-type"
http://terminology.hl7.org/CodeSystem/referencerange-meaning,4.0.1,draft,"2.16.840.1.113883.4.642.4.1124",ObservationReferenceRangeMeaningCodes,Observation Reference Range Meaning Codes,"This value set defines a set of codes that can be used to indicate the meaning/use of a reference range for a particular target population.","ValueSet/referencerange-meaning"
http://terminology.hl7.org/CodeSystem/v2-0074,2.9,active,"2.16.840.1.113883.18.29",v2.0074,v2 DIAGNOSTIC SERVICE SECTION ID,"FHIR Value set/code system definition for HL7 v2 table 0074 ( DIAGNOSTIC SERVICE SECTION ID)","ValueSet/diagnostic-service-sections"
http://terminology.hl7.org/CodeSystem/v2-0116,2.9,active,"2.16.840.1.113883.18.47",v2.0116,v2 BED STATUS,"FHIR Value set/code system definition for HL7 v2 table 0116 ( BED STATUS)","ValueSet/v2-0116"
http://terminology.hl7.org/CodeSystem/v2-0131,2.9,active,"2.16.840.1.113883.18.58",v2.0131,v2 Contact Role,"FHIR Value set/code system definition for HL7 v2 table 0131 ( Contact Role)","ValueSet/patient-contactrelationship"
http://terminology.hl7.org/CodeSystem/v2-0203,2.9,active,"2.16.840.1.113883.18.108",v2.0203,v2 Identifier Type,"FHIR Value set/code system definition for HL7 v2 table 0203 ( Identifier Type)","ValueSet/identifier-type"
http://terminology.hl7.org/CodeSystem/v2-0371,2.9,active,"2.16.840.1.113883.18.229",v2.0371,v2 Additive,"FHIR Value set/code system definition for HL7 v2 table 0371 ( Additive)","ValueSet/v2-0371"
http://terminology.hl7.org/CodeSystem/v2-0373,2.9,active,"2.16.840.1.113883.18.231",v2.0373,v2 Treatment,"FHIR Value set/code system definition for HL7 v2 table 0373 ( Treatment)","ValueSet/specimen-processing-procedure"
http://terminology.hl7.org/CodeSystem/v2-0916,2.9,active,"2.16.840.1.113883.18.422",v2.0916,v2 Relevant Clincial Information,"FHIR Value set/code system definition for HL7 v2 table 0916 ( Relevant Clincial Information)","ValueSet/v2-0916"
http://terminology.hl7.org/CodeSystem/v3-ActCode,2018-08-12,active,"2.16.840.1.113883.5.4",v3.ActCode,v3 Code System ActCode," A code specifying the particular kind of Act that the Act-instance represents within its class.  Constraints:  The kind of Act (e.g. physical examination, serum potassium, inpatient encounter, charge financial transaction, etc.) is specified with a code from one of several, typically external, coding systems.  The coding system will depend on the class of Act, such as LOINC for observations, etc. Conceptually, the Act.code must be a specialization of the Act.classCode. This is why the structure of ActClass domain should be reflected in the superstructure of the ActCode domain and then individual codes or externally referenced vocabularies subordinated under these domains that reflect the ActClass structure. Act.classCode and Act.code are not modifiers of each other but the Act.code concept should really imply the Act.classCode concept. For a negative example, it is not appropriate to use an Act.code ""potassium"" together with and Act.classCode for ""laboratory observation"" to somehow mean ""potassium laboratory observation"" and then use the same Act.code for ""potassium"" together with Act.classCode for ""medication"" to mean ""substitution of potassium"". This mutually modifying use of Act.code and Act.classCode is not permitted.","ValueSet/v3-ActCode"
http://terminology.hl7.org/CodeSystem/v3-Confidentiality,2018-08-12,active,"2.16.840.1.113883.5.25",v3.Confidentiality,v3 Code System Confidentiality," A set of codes specifying the security classification of acts and roles in accordance with the definition for concept domain ""Confidentiality"".","ValueSet/v3-ConfidentialityClassification"
http://terminology.hl7.org/CodeSystem/v3-MaritalStatus,2018-08-12,active,"2.16.840.1.113883.5.2",v3.MaritalStatus,v3 Code System MaritalStatus," * * * No description supplied * * *  Open Issue:  The specific meanings of these codes can vary somewhat by jurisdiction and implementation so caution should be used when determining equivalency.","ValueSet/ZimMaritalStatus"
http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,2018-08-12,active,"2.16.840.1.113883.5.83",v3.ObservationInterpretation,v3 Code System ObservationInterpretation,"One or more codes providing a rough qualitative interpretation of the observation, such as ""normal"" / ""abnormal"", ""low"" / ""high"", ""better"" / ""worse"", ""resistant"" /  ""susceptible"", ""expected"" / ""not expected"". The value set is intended to be for ANY use where coded representation of an interpretation is needed.","ValueSet/observation-interpretation"
http://terminology.hl7.org/CodeSystem/v3-RoleCode,2018-08-12,active,"2.16.840.1.113883.5.111",v3.RoleCode,v3 Code System RoleCode," A set of codes further specifying the kind of Role; specific classification codes for further qualifying RoleClass codes.","ValueSet/v3-ServiceDeliveryLocationRoleType"
urn:iso:std:iso:3166,2018,active,,Country Codes,,"This is a place holder for the code system which is fully supported through internal means (not by this code system)","ValueSet/country"
